county,state,youth_share,elderly_share,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_bachelorsorhigher,without_insuranceunder65,income_percapita,population_density,disability_prevalence,dependency_ratio,minority_share,hispanic_share,cluster
pocahontas county,iowa,23.1,25.4,78.6,93300,2.2,4.4,18.7,7.2,35956,12.3,15.2,48.5,7.2,6.6,Medium Risk: Older White Homeowner Communities
polk county,iowa,23.9,14.5,67.1,248400,2.4,14.6,39.5,6.7,44008,860.5,11.2,38.4,17.2,11.2,Low Risk: Educated Urban Communities
pottawattamie county,iowa,22.3,19.7,70.3,183600,2.4,6.3,23.5,5.7,36853,98.5,15.8,42,6.7,10.1,Medium Risk: Older White Homeowner Communities
poweshiek county,iowa,19.3,22.5,70.7,184200,2.2,4.9,28.2,4.9,37173,31.9,13.9,41.8,6,4.1,Medium Risk: Older White Homeowner Communities
ringgold county,iowa,22.4,24.4,78.8,150300,2.4,3.9,25.2,5.8,37108,8.7,14.8,46.8,3.6,2.8,Medium Risk: Older White Homeowner Communities
sac county,iowa,22.4,24.9,78,138400,2.3,5.1,21.2,5.7,40261,17.1,12.3,47.3,4.3,5.2,Medium Risk: Older White Homeowner Communities
scott county,iowa,22.5,18.6,69.6,212500,2.4,6.3,36.2,5.2,42754,381.3,12.1,41.1,16,7.8,Low Risk: Educated Urban Communities
shelby county,iowa,22.7,23.8,75.8,156200,2.3,2,23.3,5.6,38805,19.9,9.5,46.5,5.8,5.6,Medium Risk: Older White Homeowner Communities
sioux county,iowa,26.8,17.3,77.8,235600,2.7,10.4,30.4,6.4,36175,46.7,9.1,44.1,4.3,15.3,Medium Risk: Older White Homeowner Communities
story county,iowa,16,13.9,56,243600,2.2,10.9,53.3,5.2,37933,172.1,9.2,29.9,13.9,5.4,Low Risk: Educated Urban Communities
